ID,Area,Capability,Actor,Story,Expected behavior from code,Interface / entrypoint,Source,Test method,Status,Defects,Defect type,Actual result,Notes / open questions
CLI-001,CLI shell,Root help and process errors,CLI user,As a CLI user I want discoverable help and conventional process failures so I can operate Chronicle safely.,"Execute initializes Cobra's generated help and completion commands before shorthand classification. With no subcommand, --help/-h, or bare help, Cobra renders root help and exits 0 without opening storage. On command failure Cobra prints 'Error: <message>' plus usage, then main prints the error again and exits 1.",chronicle; chronicle --help|-h; chronicle help; invalid invocation,"main.go:main; internal/cli/root.go:rootCmd,Execute,shouldInjectAddCommand",Built-binary CLI system test with isolated storage,Verified,-,-,"Loop 1 re-test: bare help and help add exited 0 without creating storage; no-args/flags remained help; invalid add arguments exited 1 through the existing error path.",Root long description says SQLite plus optional project logs although the configured backend can be markdown; failures normally duplicate the error line.
CLI-002,CLI shell,Implicit add shorthand,CLI user,As a CLI user I want to log a message without typing the add subcommand.,"After generated commands are registered, if argv[1] is nonempty, does not start with '-', and is not a registered command or alias, Execute injects 'add' before the original arguments; flags and known commands are not rewritten.","chronicle ""message"" [--tag value]","internal/cli/root.go:Execute,shouldInjectAddCommand,isKnownCommand",Built-binary CLI system test,Verified,-,-,Loop 1 re-test: fresh built binary persisted an unknown-text shorthand entry while leaving help/completion as commands.,Unknown command names are intentionally treated as log messages.
CLI-003,CLI shell,Add entry command and alias,CLI user,As a CLI user I want to add one nonempty log message explicitly or through the short alias.,'add' and alias 'a' require exactly one argument; an empty-string argument returns 'message cannot be empty'; success persists one entry and prints 'Entry created (ID: <id>)'.,chronicle add|a [message],internal/cli/add.go:addCmd,Built-binary CLI system test with isolated real storage,Verified,-,-,Loop 1 re-test: real integration script passed explicit add and shorthand; built alias a persisted an entry; extra arguments exited 1.,Cobra exact-argument errors establish missing/extra argument behavior.
CLI-004,CLI shell,Add metadata capture,CLI user,As a CLI user I want new entries to record when and where work happened.,"Add records time.Now, hostname, USER, current working directory, message, and tags; unavailable hostname, USER, or cwd becomes 'unknown'.",chronicle add [message],internal/cli/add.go:addCmd RunE,CLI system test plus storage inspection,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Metadata is captured before project-root discovery.
CLI-005,CLI shell,Repeated tag flags,CLI user,As a CLI user I want to attach multiple tags to an entry.,The repeatable --tag/-t StringArray flag supplies the entry's tag slice in invocation order.,chronicle add [message] --tag value|-t value,"internal/cli/add.go:init,addCmd",Built-binary CLI system test,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,"No trimming, deduplication, or validation is applied."
CLI-006,CLI shell,Best-effort project-local logging,Project contributor,As a project contributor I want global entries mirrored into a configured project log.,"After global persistence, add walks upward for .chronicle, loads TOML defaults, and when local_logging=true appends a daily project log. Success prints the log directory; project discovery/config errors are ignored; write errors emit a warning but leave the global add successful.",chronicle add from a .chronicle tree,internal/cli/add.go:addCmd; internal/config/project.go; internal/logging/project.go,Built-binary end-to-end test with real files,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Local logging is deliberately non-transactional with global persistence.
CLI-007,CLI shell,List recent entries,CLI user,As a CLI user I want the newest entries listed with a practical default limit.,list loads configured storage and requests entries ordered newest-first with default limit 20; storage/config failures are wrapped and returned.,chronicle list [--limit N|-n N],internal/cli/list.go:listCmd,Built-binary CLI system test on both backends,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,A nonpositive limit reaches storage as unlimited.
CLI-008,CLI shell,List table output,CLI user,As a CLI user I want a readable table of recent entries.,"Default output always prints two header lines then one tab-separated row per entry: ID, the stored Timestamp formatted 'YYYY-MM-DD HH:MM:SS' without timezone conversion, Go slice-form tags or blank, and message.",chronicle list,internal/cli/list.go:listCmd RunE,Built-binary stdout assertion,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Markdown reads preserve the parsed numeric UTC offset; messages containing tabs/newlines are not escaped.
CLI-009,CLI shell,List JSON output,Automation consumer,As an automation consumer I want recent entries as JSON.,"--json prints indented JSON for the storage.Entry slice using fields id, timestamp, message, hostname, username, working_directory, and tags.",chronicle list --json,internal/cli/list.go:listCmd; internal/storage/store.go:Entry,Built-binary JSON parse/assertion,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,"Both current backends return a nil slice when empty, so empty list JSON is null rather than []."
CLI-010,CLI shell,Search by text,CLI user,As a CLI user I want to find entries by message or tag text.,"search accepts at most one text argument and delegates it through SearchFilter.Text; SQLite uses FTS5 query syntax, while markdown uses case-insensitive substring containment across message and joined tags.",chronicle search [text],internal/cli/search.go:searchCmd; internal/storage/store.go:SearchEntries; internal/storage/markdown.go:matchesFilter,Built-binary cross-backend scenario,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Backend search semantics intentionally differ; malformed FTS5 syntax can error only on SQLite.
CLI-011,CLI shell,Search by tags,CLI user,As a CLI user I want to filter entries by one or more tags.,"Repeatable --tag/-t values are ORed. Both backends compare exact, case-sensitive tag strings; SQLite uses parameterized json_each membership, while Markdown compares the parsed tag slice.",chronicle search --tag value,"internal/cli/search.go:init,searchCmd; internal/storage/store.go:SearchEntries; internal/storage/markdown.go:matchesFilter",Built-binary cross-backend edge-case matrix,Verified,-,-,"Loop 1 re-test: fresh binary added exact tag alpha and nonmatching tag x""alpha to isolated SQLite; search --tag alpha --json exited 0 and returned only the alpha entry. Storage tests cover %, _, quote, backslash, FTS+tag, and OR-tag cases.",Fix root cause: query JSON array membership rather than substring matching serialized JSON.
